;code;ageing;grp;mgr;syn
122;300821-07;30;14.28571429;0.085714286;0.266666667
123;300821-08;2;92.85714286;0.067944251;0.678812416
124;300821-08;10;90.47619048;0.065404475;0.344238976
125;300821-08;15;78.57142857;0.051805338;0.433712121
126;300821-08;30;64.28571429;0.042857143;0.367521368
127;300821-10;2;91.66666667;0.098214286;0.484848485
128;300821-10;10;97.22222222;0.087719298;0.38487395
129;300821-10;15;91.66666667;0.073660714;0.454545455
130;300821-10;30;40.47619048;0.055194805;0.382352941
131;300821-11;2;97.61904762;0.071428571;0.525609756
132;300821-11;10;92.85714286;0.076320939;0.344129555
133;300821-11;15;90.47619048;0.082251082;0.429587482
134;300821-11;30;26.19047619;0.054187192;0.345454545
135;300821-15;2;97.56097561;0.142857143;1
136;300821-15;10;90.47619048;0.142857143;1
137;300821-15;15;85.36585366;0.128205128;0.835294118
138;300821-15;30;21.42857143;0.067669173;0.777777778
139;300921-03;2;21.95121951;0.044334975;0.611111111
140;300921-03;10;0;NA;NA
141;300921-03;15;0;NA;NA
142;300921-03;30;0;NA;NA
143;310821-04;2;71.42857143;0.047095761;0.354022989
144;310821-04;10;11.9047619;0.047619048;1
145;310821-04;15;0;NA;NA
146;310821-04;30;0;NA;NA
147;310821-05;2;92.85714286;0.142857143;1
148;310821-05;10;92.85714286;0.142857143;1
149;310821-05;15;90.90909091;0.142857143;1
150;310821-05;30;42.85714286;0.142857143;1
151;310821-08;2;97.61904762;0.112637363;0.61097561
152;310821-08;10;95.23809524;0.090702948;0.421794872
153;310821-08;15;66.66666667;0.076923077;0.404761905
154;310821-08;30;19.04761905;0.060150376;0.535714286
155;310821-09;2;100;0.112637363;0.597560976
156;310821-09;10;97.5;0.109243697;0.562753036
157;310821-09;15;97.5;0.105121294;0.527665317
158;310821-09;30;48.7804878;0.077220077;0.426315789
159;310821-10;2;97.61904762;0.13015873;0.819512195
160;310821-10;10;88.0952381;0.099730458;0.486486486
161;310821-10;15;85.71428571;0.08716707;0.401587302
162;310821-10;30;11.9047619;0.05952381;0.6
163;310821-11;2;90.47619048;0.066202091;0.431009957
164;310821-11;10;83.33333333;0.058139535;0.472268908
165;310821-11;15;80.95238095;0.052227343;0.474153298
166;310821-11;30;7.317073171;0.047619048;0
167;310821-13;2;89.74358974;0.047619048;0.537815126
168;310821-13;10;17.94871795;0.035714286;1
169;310821-13;15;2.631578947;0.035714286;NA
170;310821-13;30;0;NA;NA
