Taxon,species,order,family,ecology,oil_content,50seed_mass_mg,source
Silene supina,Silesupi,Caryophyllales,Caryophyllaceae,Strict lowland,4.9,25,SID
Silene vulgaris,Silevulg,Caryophyllales,Caryophyllaceae,Generalist,2.7,61,SID
Solidago virgaurea,Solivirg,Asterales,Asteraceae,Generalist,15.593,33.455,own_data
Spergula arvensis,Sperarve,Caryophyllales,Caryophyllaceae,Strict lowland,14.35,18,SID
Spergula morisonii,Spermori,Caryophyllales,Caryophyllaceae,Generalist,5.602,9.736,own_data
Teesdalia conferta,Teesconf,Brassicales,Brassicaceae,Strict alpine,7.963,96,own_data
Thymus capitatus,Thymcapi,Lamiales,Lamiaceae,Strict lowland,21.15,90,SID
Thymus chaubardii,Thymchau,Lamiales,Lamiaceae,Generalist,38,11.5,SID
Thymus praecox,Thymprae.1,Lamiales,Lamiaceae,Generalist,18.307,5.84,own_data
Thymus praecox,Thymprae,Lamiales,Lamiaceae,Generalist,18.422,8.528,own_data
Thymus vulgaris,Thymvulg,Lamiales,Lamiaceae,Generalist,37.7,69,SID
Thymus zygis,Thymzygi,Lamiales,Lamiaceae,Strict lowland,20,10,SID
Veronica longifolia,Verolong,Lamiales,Plantaginaceae,Strict lowland,18.5,4,SID
Veronica nummularia,Veronumm,Lamiales,Plantaginaceae,Strict alpine,32.834,10.2,own_data
Veronica salina,Verosali,Lamiales,Plantaginaceae,Strict lowland,15.8,1,SID
Veronica spicata,Verospic,Lamiales,Plantaginaceae,Generalist,31,8.5,SID
