"","community","species","family","Taxon","code","year_analisis","oil_type","oil_type_mg","oil_type_PER","PERoil"
"47","Mediterranean","Dianlang","Caryophyllaceae","Dianthus langeanus","110821-01",2023,"C18.0",1.08,2.48,4.362
"48","Mediterranean","Dianlang","Caryophyllaceae","Dianthus langeanus","110821-01",2023,"C18.1n7c",0.47,1.08,4.362
"49","Mediterranean","Dianlang","Caryophyllaceae","Dianthus langeanus","110821-01",2023,"C18.1n9c",14.88,34.12,4.362
"50","Mediterranean","Dianlang","Caryophyllaceae","Dianthus langeanus","110821-01",2023,"C18.2n6c",19.21,44.06,4.362
"51","Mediterranean","Dianlang","Caryophyllaceae","Dianthus langeanus","110821-01",2023,"C18.3n3",1.87,4.28,4.362
"52","Mediterranean","Dianlang","Caryophyllaceae","Dianthus langeanus","110821-01",2023,"C18.3n6",0.61,1.4,4.362
"53","Mediterranean","Dianlang","Caryophyllaceae","Dianthus langeanus","110821-01",2023,"C18.4n3",0.1,0.22,4.362
"54","Mediterranean","Dianlang","Caryophyllaceae","Dianthus langeanus","110821-01",2023,"C20.0",0.18,0.41,4.362
"55","Mediterranean","Dianlang","Caryophyllaceae","Dianthus langeanus","110821-01",2023,"C20.1n9",0.19,0.42,4.362
"56","Mediterranean","Dianlang","Caryophyllaceae","Dianthus langeanus","110821-01",2023,"C20.2n6",0,0,4.362
"57","Mediterranean","Dianlang","Caryophyllaceae","Dianthus langeanus","110821-01",2023,"C22.0",0.1,0.23,4.362
"58","Mediterranean","Dianlang","Caryophyllaceae","Dianthus langeanus","110821-01",2023,"C22.1n9",0,0,4.362
"59","Mediterranean","Dianlang","Caryophyllaceae","Dianthus langeanus","110821-01",2023,"C22.2n6",0,0,4.362
"60","Mediterranean","Dianlang","Caryophyllaceae","Dianthus langeanus","110821-01",2023,"C24.0",0.09,0.21,4.362
"61","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C12.0",0.05,0.31,1.48
"62","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C14.0",0.14,0.93,1.48
"63","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C15.0",0,0,1.48
"64","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C16.0",2.18,14.75,1.48
"65","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C16.1n7",0.15,1.02,1.48
"66","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C17.0",0,0,1.48
"67","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C18.0",0.25,1.68,1.48
"68","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C18.1n7c",0.35,2.37,1.48
"69","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C18.1n9c",3.08,20.8,1.48
"70","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C18.2n6c",7.34,49.59,1.48
"71","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C18.3n3",0.89,6.01,1.48
"72","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C18.3n6",0,0,1.48
"73","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C18.4n3",0,0,1.48
"74","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C20.0",0.16,1.08,1.48
"75","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C20.1n9",0.09,0.62,1.48
"76","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C20.2n6",0,0,1.48
"77","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C22.0",0.05,0.37,1.48
"78","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C22.1n9",0,0,1.48
"79","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C22.2n6",0,0,1.48
"80","Mediterranean","Festsumm","Poaceae","Festuca summilusitana","250821-02",2022,"C24.0",0.07,0.49,1.48
"81","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C12.0",0,0,9.171
"82","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C14.0",0.07,0.07,9.171
"83","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C15.0",0,0,9.171
"84","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C16.0",7.72,8.41,9.171
"85","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C16.1n7",0.08,0.09,9.171
"86","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C17.0",0.09,0.09,9.171
"87","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C18.0",2.23,2.43,9.171
"88","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C18.1n7c",0.73,0.8,9.171
"89","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C18.1n9c",37.99,41.42,9.171
"90","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C18.2n6c",40.41,44.07,9.171
"91","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C18.3n3",1.36,1.49,9.171
"92","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C18.3n6",0,0,9.171
"93","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C18.4n3",0,0,9.171
"94","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C20.0",0.21,0.23,9.171
"95","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C20.1n9",0.64,0.7,9.171
"96","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C20.2n6",0,0,9.171
"97","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C22.0",0.09,0.1,9.171
"98","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C22.1n9",0,0,9.171
"99","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C22.2n6",0,0,9.171
"100","Mediterranean","Helimarg","Poaceae","Helictochloa marginata","040822-10",2023,"C24.0",0.09,0.1,9.171
"101","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C12.0",0,0,8.253
"102","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C14.0",0.23,0.27,8.253
"103","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C15.0",0,0,8.253
"104","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C16.0",6.5,7.88,8.253
"105","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C16.1n7",0.07,0.09,8.253
"106","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C17.0",0.05,0.05,8.253
"107","Mediterranean","Jurihumi","Asteraceae","Jurinea humilis","120821-03",2023,"C18.0",3.31,4.01,8.253
