ID.JUICE,Taxon_full,Taxon,family,Freq,Alpine,ecology,seed.oil,mean.value,Source
236,Gymnadenia conopsea,Gymnadenia conopsea,Orchidaceae,1,Casual,Generalist,,,
237,Gypsophila repens,Gypsophila repens,Caryophyllaceae,56,Specialist.4.4,Specialist,sp.level,3.587,Own data
238,Helianthemum apenninum subsp. cantabricum,Helianthemum apenninum,Cistaceae,70,Generalist,Generalist,gen.level,6.233333333,
240,Helianthemum canum,Helianthemum canum,Cistaceae,185,Generalist,Generalist,sp.level,5.21,Own data
241,Helianthemum nummularium,Helianthemum nummularium,Cistaceae,3,Generalist,Generalist,sp.level,4.8,SID
239,Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,Cistaceae,101,Specialist.4.4,Specialist,sp.level,3.449,Own data
242,Helictochloa marginata,Helictochloa marginata,Poaceae,92,Generalist,Generalist,sp.level,9.171,Own data
243,Helictochloa pratensis,Helictochloa pratensis,Poaceae,23,Generalist,Generalist,,,
244,Helictotrichon cantabricum,Helictotrichon cantabricum,Poaceae,1,Casual,Generalist,,,
245,Helictotrichon sedenense,Helictotrichon sedenense,Poaceae,177,Specialist.4.4,Specialist,,,
246,Herniaria glabra,Herniaria glabra,Caryophyllaceae,10,Generalist,Generalist,sp.level,8.6,Fadb
247,Herniaria hirsuta,Herniaria hirsuta,Caryophyllaceae,1,Casual,Generalist,gen.level,5.65,
248,Hieracium amplexicaule,Hieracium amplexicaule,Asteraceae,3,Generalist,Generalist,,,
249,Hieracium bombycinum,Hieracium bombycinum,Asteraceae,46,Generalist,Generalist,,,
250,Hieracium lainzii,Hieracium lainzii,Asteraceae,1,Casual,Generalist,,,
251,Hieracium loscosianum,Hieracium loscosianum,Asteraceae,11,Generalist,Generalist,,,
252,Hieracium mixtum,Hieracium mixtum,Asteraceae,15,Generalist,Generalist,,,
253,Hieracium pallidum,Hieracium pallidum,Asteraceae,12,Generalist,Generalist,,,
254,Hieracium piloselloides,Hieracium piloselloides,Asteraceae,4,Generalist,Generalist,,,
255,Hieracium schmidtii,Hieracium schmidtii,Asteraceae,1,Casual,Generalist,,,
256,Hippocrepis comosa,Hippocrepis comosa,Fabaceae,18,Generalist,Generalist,gen.level,3.6,
257,Homogyne alpina,Homogyne alpina,Asteraceae,1,Casual,Generalist,,,
258,Horminum pyrenaicum,Horminum pyrenaicum,Lamiaceae,13,Generalist,Generalist,,,
259,Hornungia alpina,Hornungia alpina,Brassicaceae,75,Generalist,Generalist,gen.level,24.7,
260,Hornungia petraea,Hornungia petraea,Brassicaceae,1,Casual,Generalist,sp.level,24.7,Fadb
261,Hypericum nummularium,Hypericum nummularium,Hypericaceae,1,Casual,Generalist,gen.level,30.53125,
262,Hypericum richeri subsp. burseri,Hypericum richeri,Hypericaceae,56,Specialist.4.3,Specialist,gen.level,30.53125,
263,Hypochaeris radicata,Hypochaeris radicata,,15,Generalist,Generalist,gen.level,24.7,
264,Iberis carnosa,Iberis carnosa,Brassicaceae,29,Specialist.4.4,Specialist,gen.level,22.28888889,
265,Iris latifolia,Iris latifolia,Iridaceae,3,Generalist,Generalist,gen.level,11.92142857,
266,Jacobaea adonidifolia,Jacobaea adonidifolia,Asteraceae,4,Generalist,Generalist,,,
267,Jacobaea boissieri,Jacobaea boissieri,Asteraceae,14,Specialist.4.4,Specialist,,,
268,Jasione cavanillesii,Jasione cavanillesii,Campanulaceae,60,Specialist.4.4,Specialist,,,
269,Jasione crispa,Jasione crispa,Campanulaceae,103,Specialist.4.3,Specialist,,,
270,Jasione laevis,Jasione laevis,Campanulaceae,166,Specialist.4.3,Specialist,,,
271,Jasione montana,Jasione montana,Campanulaceae,13,Generalist,Generalist,,,
272,Jasione sessiliflora,Jasione sessiliflora,Campanulaceae,1,Casual,Generalist,,,
273,Juncus conglomeratus,Juncus conglomeratus,Juncaceae,1,Casual,Generalist,gen.level,5.05,
274,Juncus squarrosus,Juncus squarrosus,Juncaceae,38,Generalist,Generalist,gen.level,5.05,
275,Juncus trifidus,Juncus trifidus,Juncaceae,65,Specialist.4.3,Specialist,gen.level,5.05,
276,Juniperus communis subsp. nana,Juniperus communis,Cupressaceae,72,Generalist,Generalist,sp.level,25.16666667,SID – Fadb
277,Juniperus sabina,Juniperus sabina,Cupressaceae,9,Generalist,Generalist,gen.level,8.053846154,
278,Jurinea humilis,Jurinea humilis,Asteraceae,71,Specialist.4.4,Specialist,sp.level,8.253,Own data
279,Kernera saxatilis,Kernera saxatilis,Brassicaceae,1,Casual,Generalist,sp.level,28.3,Fadb
280,Klasea nudicaulis,Klasea nudicaulis,Asteraceae,7,Generalist,Generalist,,,
281,Knautia legionensis,Knautia legionensis,,1,Casual,Generalist,gen.level,21.16,
282,Kobresia myosuroides,Kobresia myosuroides,Cyperaceae,53,Specialist.4.4,Specialist,sp.level,6.124,Own data
283,Koeleria crassipes,Koeleria crassipes,Poaceae,6,Generalist,Generalist,gen.level,5.6,
284,Koeleria vallesiana,Koeleria vallesiana,Poaceae,184,Generalist,Generalist,sp.level,9.637,Own data
285,Lathyrus linifolius,Lathyrus linifolius,,2,Casual,Generalist,gen.level,2.7165625,
286,Lathyrus pratensis,Lathyrus pratensis,,2,Casual,Generalist,gen.level,2.7165625,
287,Leontodon autumnalis,Leontodon autumnalis,Asteraceae,6,Generalist,Generalist,,,
288,Leontodon crispus,Leontodon crispus,Asteraceae,3,Generalist,Generalist,,,
289,Leontodon hispidus,Leontodon hispidus,Asteraceae,2,Casual,Generalist,,,
290,Leontodon saxatilis subsp. saxatilis,Leontodon saxatilis,Asteraceae,7,Generalist,Generalist,,,
291,Leucanthemopsis cuneata subsp. valdes-bermejoi,Leucanthemopsis cuneata,Asteraceae,4,Generalist,Generalist,,,
292,Leucanthemopsis flaveola,Leucanthemopsis flaveola,Asteraceae,2,Casual,Generalist,,,
293,Leucanthemum gaudinii subsp. cantabricum,Leucanthemum gaudinii,Asteraceae,3,Generalist,Generalist,,,
294,Leucanthemum vulgare,Leucanthemum vulgare,Asteraceae,11,Generalist,Generalist,,,
295,Linaria filicaulis,Linaria filicaulis,Plantaginaceae,4,Generalist,Generalist,gen.level,39.18181818,
296,Linaria saxatilis,Linaria saxatilis,Plantaginaceae,6,Generalist,Generalist,gen.level,39.18181818,
297,Linaria supina,Linaria supina,Plantaginaceae,30,Generalist,Generalist,gen.level,39.18181818,
298,Linum appressum,Linum appressum,,3,Generalist,Generalist,gen.level,31.39266667,
299,Linum bienne,Linum bienne,Linaceae,1,Casual,Generalist,sp.level,29.9,SID
300,Linum catharticum,Linum catharticum,Linaceae,20,Generalist,Generalist,gen.level,31.39266667,
301,Linum narbonense subsp. barrasii,Linum narbonense,Linaceae,2,Casual,Generalist,sp.level,34.6,Fadb
302,Lotus corniculatus,Lotus corniculatus,Fabaceae,125,Generalist,Generalist,sp.level,6.53,SID
303,Lotus tenuis,Lotus tenuis,Fabaceae,1,Casual,Generalist,sp.level,7,SID
304,Luzula caespitosa,Luzula caespitosa,Juncaceae,218,Specialist.4.3,Specialist,sp.level,3.372,Own data
305,Luzula campestris,Luzula campestris,Juncaceae,2,Casual,Generalist,,,
306,Luzula lactea,Luzula lactea,Juncaceae,3,Generalist,Generalist,,,
307,Luzula multiflora,Luzula multiflora,Juncaceae,9,Generalist,Generalist,,,
308,Luzula pediformis,Luzula pediformis,Juncaceae,114,Specialist.4.4,Specialist,,,
309,Luzula spicata,Luzula spicata,Juncaceae,34,Specialist.4.3,Specialist,,,
310,Malva moschata,Malva moschata,,3,Generalist,Generalist,gen.level,15.145,
311,Matthiola perennis,Matthiola perennis,,60,Generalist,Generalist,gen.level,28.05454545,
312,Medicago lupulina,Medicago lupulina,Fabaceae,1,Casual,Generalist,sp.level,5.45,SID
313,Meum athamanticum,Meum athamanticum,Apiaceae,65,Specialist.4.3,Specialist,sp.level,18.5,Fadb
315,Minuartia recurva,Minuartia recurva,Caryophyllaceae,35,Specialist.4.3,Specialist,sp.level,3.289,Own data
316,Minuartia rostrata,Minuartia rostrata,Caryophyllaceae,6,Generalist,Generalist,,,
317,Minuartia rubra,Minuartia rubra,Caryophyllaceae,1,Casual,Generalist,,,
318,Minuartia verna,Minuartia verna,Caryophyllaceae,170,Specialist.4.4,Specialist,,,
319,Minuartia villarii,Minuartia villarii,Caryophyllaceae,15,Generalist,Generalist,,,
320,Molineriella laevis,Molineriella laevis,,1,Casual,Generalist,,,
