Taxon,species ,family,community,code ,year_analisis,units,C12.0 ,C14.0 ,C15.0 ,C16.0 ,C16.1n7,C17.0 ,C18.0 ,C18.1n7c ,C18.1n9c ,C18.2n6c ,C18.3n3  ,C18.3n6,C18.4n3,C20.0 ,C20.1n9,C20.2n6,C22.0 ,C22.1n9 ,C22.2n6,C24.0 
Helictochloa marginata,Helimarg,Poaceae,Mediterranean,040822-10,2023,percentage,0,0.07,0,8.41,0.09,0.09,2.43,0.8,41.42,44.07,1.49,0,0,0.23,0.7,0,0.1,0,0,0.1
Jurinea humilis,Jurihumi.1,Asteraceae,Mediterranean,120821-03,2023,percentage,0,0.27,0,7.88,0.09,0.05,4.01,0.66,31.24,49.3,0.2,0,0,0.63,5.22,0,0.18,0,0,0.25
Kobresia myosuroides,Kobrmyos,Cyperaceae,Temperate,130921-03,2023,percentage,0,0.09,0,6.65,0.09,0,1.71,0.74,13.21,74.4,1.03,0,0,0.46,0.44,0.21,0.49,0,0,0.48
Koeleria vallesiana,Koelvall,Poaceae,Temperate,300821-02,2023,percentage,0,0.08,0,8.18,0.13,0.1,2.37,0.88,20.03,65.17,2.17,0,0,0.31,0.37,0,0.12,0,0,0.09
Luzula caespitosa,Luzucaes,Juncaceae,Mediterranean,110821-03,2023,percentage,0,0.15,0,10.73,0,0.23,2.36,0.63,61.56,17.27,0.38,0,0,0.26,4.33,0,0.46,1.34,0,0.28
Minuartia recurva,Minurecu,Caryophyllaceae,Mediterranean,110821-07,2023,percentage,0,0,0,13.25,0.23,0.15,1.69,1.47,23.19,48.98,1.8,7.94,0,0.3,0.43,0,0.19,0,0,0.39
Neoschischkinia truncatula,Neostrun,Poaceae,Mediterranean,250821-03,2023,percentage,0,0.2,0,12.36,0.2,0,0.76,1.7,18.46,59.56,5.92,0,0,0.14,0.53,0,0.17,0,0,0
Phyteuma hemisphaericum,Phythemi,Campanulaceae,Mediterranean,240821-10,2023,percentage,0,0.06,0,7.15,0.08,0.06,2.85,0.57,13.47,73.9,1.64,0,0,0.06,0.07,0,0.03,0,0,0.04
Plantago alpina,Planalpi,Plantaginaceae,Temperate,300821-15,2022,percentage,0,0.04,0.07,8.56,0.07,0.07,1.66,0.98,17.05,30.43,40.51,0,0,0.26,0.14,0.07,0.09,0,0,0
Plantago holosteum,Planholo,Plantaginaceae,Mediterranean,250821-12,2023,percentage,0,0,0,9.79,0.1,0.08,1.69,1.09,17.45,36.64,32.64,0,0,0.23,0.12,0.06,0.1,0,0,0
Salix breviserrata,Salibrev,Salicaceae,Temperate,140722-01,2023,percentage,0,0.26,0,20.63,0.17,0.15,3.81,0.47,24.73,38.9,8.33,0,0,0.68,0.51,0,0.79,0,0,0.58
Saxifraga conifera,Saxiconi,Saxifragaceae,Temperate,120722-01,2023,percentage,0.04,0.13,0,8.93,0.09,0.06,0.56,0.65,9.09,31.72,48.11,0,0,0.03,0.4,0.07,0.04,0.03,0,0.05
Saxifraga paniculata,Saxipani,Saxifragaceae,Temperate,310821-14,2023,percentage,0.08,0.22,0,7.73,0.08,0.05,0.75,0.5,10.71,30.97,47.97,0,0,0.06,0.67,0.12,0.04,0,0,0.04
Sedum anglicum,Seduangl,Crassulaceae,Mediterranean,240821-09,2023,percentage,0,0.06,0,7.44,0.09,0.07,2.46,0.65,8.5,28.16,51.55,0,0,0.45,0.07,0.04,0.3,0,0,0.15
Sedum brevifolium,Sedubrev,Crassulaceae,Mediterranean,240821-11,2023,percentage,0,0.07,0,7.2,0.08,0.08,3.12,0.6,6.59,31.83,49.17,0,0,0.54,0.07,0.07,0.45,0,0,0.13
Silene acaulis,Sileacau,Caryophyllaceae,Temperate,140921-03,2023,percentage,0,0,0,12.15,0.13,0.32,1.36,1.33,18.78,58.63,1.69,3.44,0.34,0.37,0.44,0.25,0.25,0,0,0.52
Silene ciliata,Silecili,Caryophyllaceae,Temperate,300821-11,2023,percentage,0,0,0,12.66,0.12,0.11,1.34,0.98,24.87,53.33,2.59,1.98,0.24,0.58,0.45,0.16,0.18,0,0,0.4
Silene ciliata,Silecili.1,Caryophyllaceae,Mediterranean,040822-07,2023,percentage,0,0,0,13.02,0.1,0.16,1.34,0.93,19.32,59.96,1.39,1.84,0.19,0.55,0.37,0.24,0.18,0,0,0.43
Solidago virgaurea,Solivirg,Asteraceae,Mediterranean,240821-08,2023,percentage,0,0.19,0,7.36,0.11,0.14,3.19,0.59,30.89,53.12,0.61,2.6,0,0.52,0.24,0,0.2,0,0,0.24
Spergula morisonii,Spermori,Caryophyllaceae,Mediterranean,310522-01,2023,percentage,0,0,0,11.15,0.15,0.11,2.36,1.4,35.85,41.71,4.77,1.31,0,0.29,0.62,0,0.1,0.17,0,0
Teesdalia conferta,Teesconf,Brassicaceae,Mediterranean,090822-04,2023,percentage,0,0.21,0,7.48,0.49,0,0.87,1.62,21.56,15.11,10.52,0,0,0.7,9.78,0.54,0.66,29.5,0.45,0.49
Thymus praecox,Thymprae,Lamiaceae,Temperate,300821-07,2023,percentage,0,0.04,0,5.01,0.08,0.07,2.35,0.95,15.6,15.63,59.61,0,0,0.24,0.28,0,0.11,0,0,0.04
Thymus praecox,Thymprae.1,Lamiaceae,Mediterranean,110821-05,2023,percentage,0,0.05,0,5.62,0.09,0.07,2.09,1.06,16.46,21.52,52.3,0,0,0.27,0.28,0,0.13,0,0,0.05
