year,code,ageing,seeds,D7,D14,D21,D28
2022,110821-01,0,25,21,2,0,0
2022,110821-01,2,42,40,0,0,0
2022,110821-01,10,42,42,0,0,0
2022,110821-01,15,42,36,6,0,0
2022,110821-01,30,41,10,16,1,0
2022,120821-01,0,25,24,1,0,0
2022,120821-01,2,41,37,2,0,0
2022,120821-01,10,42,13,10,3,0
2022,120821-01,15,42,3,3,1,0
2022,120821-01,30,42,0,0,0,0
2022,120821-06,0,25,23,1,0,0
2022,120821-06,2,40,33,1,0,0
2022,120821-06,10,42,22,3,0,0
2022,120821-06,15,38,16,4,2,0
2022,120821-06,30,39,0,0,0,0
2022,130921-04,0,25,0,12,NA,12
2022,130921-04,2,41,0,11,16,2
2022,130921-04,10,41,0,0,6,0
2022,130921-04,15,42,0,0,0,0
2022,130921-04,30,42,0,0,0,0
2022,130921-06,0,25,0,9,NA,12
2022,130921-06,2,42,1,21,8,5
2022,130921-06,10,42,0,0,0,0
2022,130921-06,15,36,0,0,0,0
2022,130921-06,30,42,0,0,0,0
2022,130921-07,0,25,21,2,0,0
2022,130921-07,2,42,35,5,1,0
2022,130921-07,10,42,36,0,0,0
2022,130921-07,15,41,34,5,0,0
2022,130921-07,30,42,3,18,0,0
2022,140921-03,0,25,20,2,0,0
2022,140921-03,2,42,32,4,0,0
2022,140921-03,10,42,32,3,0,0
2022,140921-03,15,42,21,5,1,0
2022,140921-03,30,41,0,3,2,1
2022,150721-01,0,25,25,0,0,0
2022,150721-01,2,39,35,1,0,0
2022,150721-01,10,41,35,0,1,0
2022,150721-01,15,41,27,7,0,0
2022,150721-01,30,42,15,7,3,0
2022,230921-01,0,25,4,16,NA,4
2022,230921-01,2,42,34,4,0,0
2022,230921-01,10,41,33,6,1,0
2022,230921-01,15,39,22,6,0,0
2022,230921-01,30,41,0,2,0,0
2022,240821-01,0,25,1,14,NA,5
2022,240821-01,2,42,23,18,1,0
2022,240821-01,10,40,19,15,1,1
2022,240821-01,15,42,9,23,3,1
2022,240821-01,30,42,0,6,3,6
2022,240821-02,0,25,3,17,NA,2
2022,240821-02,2,39,0,24,5,2
2022,240821-02,10,39,3,20,1,0
